word,abbreviation,frequency
always,AY,8
about,ER,5
river,PO,5
appeal,IT,5
touching,RE,5
regarding,TO,4
work,PO,4
say,GE,4
happy,UP,3
instant,MO,3
attending,AT,3
concerning,ON,3
stylish,IN,3
note,ME,3
chap,HE,3
lines,LL,3
attempt,GO,2
one,ME,2
party,OD,2
’s,IS,2
l,AL,2
one’s,VE,2
murder,IN,2
on,ER,2
georgia,GA,2
until,TO,2
drama,NO,2
reveal,ON,2
room,RM,2
sanction,OK,2
men,RO,2
covering,ON,2
artist,AR,2
demonstrated,IN,2
lives,SI,2
american,SU,2
well,OK,2
forward,ON,2
approximately,SO,2
run,GO,2
attend,AT,2
officer,LT,2
fellow,HE,2
home,NI,2
trailer,AD,2
eleven,XI,2
indeed,AY,2
against,ON,2
yard,YD,2
footballers,FA,2
state,NY,2
seaman,AB,2
troops,RE,2
advance,GO,2
cheers,AT,2
thursday,TH,2
medic,MO,2
computers,IT,2
drive,GO,2
one,ST,2
female,DI,2
papers,DI,2
when,SA,2
useless,US,2
=fashionable,IN,2
exhausted,IN,2
e,IC,2
grey,GR,2
e,ER,2
religious,PI,2
soldier,IG,2
itor,ED,2
current,AC,2
vermouth,IT,2
