word,synonym,frequency
a,PER,7
woman’s,HER,6
island,MAN,4
fresh,PERT,4
spirit,GIN,4
embarrassed,DER,3
wonderful,ACE,3
prisoner,LAG,3
day,MON,3
bar,COUNTER,3
girl,UNA,3
bank,POT,3
study,NED,3
favouring,PRO,3
female,HER,3
speck,MOTE,3
for,LONG,3
cheat,CRIB,3
i,ONE,3
cart,YARD,3
note,LAH,2
racket,CON,2
drink,PUS,2
pipe,HOSE,2
youngster,PUP,2
remains,DUST,2
soldiers,ARMY,2
flag,ERIT,2
bill,BAT,2
spacecraft,LANDER,2
danger,REAT,2
thrusts,POKES,2
mock,COD,2
secure,PIN,2
help,DIA,2
catch,PART,2
jerk,TIC,2
food,BURG,2
present,TENDER,2
youngster,SON,2
crowd,BOM,2
opinion,TAKE,2
vehicle,AUTO,2
residence,RES,2
day,FRI,2
hide,BURY,2
skin,LEEP,2
manage,EPOC,2
inexperienced,NEW,2
phone,TEL,2
polish,PAL,2
zero,NIL,2
paid,FEED,2
programme,APP,2
screens,BLINDS,2
shy,HURL,2
horizontal,LYING,2
special,ICULAR,2
disappearances,LOSSES,2
paper,TIMES,2
stick,NOTAB,2
prosper,WELL,2
jibe,DIG,2
the,OFF,2
falsify,RIG,2
girl,VAL,2
soak,RET,2
namely,VIZ,2
melon,OGEN,2
friend,LAP,2
pan,POT,2
contend,VIE,2
beat,LAM,2
cover,DIL,2
month,AUG,2
stick,JAM,2
celebrity,LION,2
organised,RAN,2
firm,STRICT,2
sport,CROQUET,2
dog,PUG,2
agreement,NOD,2
arranged,ARR,2
reader,LECTOR,2
fine,ERIC,2
book,EMOT,2
tiny,WEE,2
for,ORP,2
scrap,BIN,2
time,TERM,2
decline,DIP,2
rogue,CUR,2
scrap,DITCH,2
question,WHO,2
secure,BAG,2
reptile,ASP,2
motivation,REASON,2
ring,KEEPER,2
agent,PER,2
drained,BLED,2
politician,LIB,2
m,ROO,2
favouring,FOR,2
boy,IAN,2
river,EXE,2
service,RAF,2
e,VIL,2
left,TROP,2
m,TER,2
sea,MAIN,2
k,TAL,2
e,ROL,2
e,ADMIR,2
police,DIC,2
cat,LION,2
marx,HARPO,2
fund,POT,2
shortage,LACK,2
posted,SENT,2
t,YACH,2
