id	word	synonym	source	norm_word
1206686	me	refresher		me
1206710	me	lickspittles		me
1207158	me	toadies		me
1212832	me	muggins		me
1214669	at	sailing		at
1217092	me	miscreant		me
1218133	me	encouragements		me
1218737	at	heed		at
1218904	at	elite		at
1219249	me	catalysts		me
1219774	me	boon		me
1220010	at	boil		at
1220123	me	sycophants		me
1220293	me	lifts		me
1221372	at	seat		at
1224408	me	mistrustful		me
1225636	me	negativistic		me
1226015	me	impetuses		me
1226930	at	flower		at
1228144	me	consistent		me
1228303	me	assumed		me
1228948	at	underbelly		at
1229310	at	flammable		at
1229707	at	serviceman		at
1229942	me	disbelieving		me
1230814	at	show up		at
1230817	me	yours truly		me
1233482	me	running dogs		me
1233548	at	haunches		at
1239473	me	coordinate		me
1242449	at	buttocks		at
1244119	at	land		at
1246103	at	glow		at
1248787	me	distrustful		me
1249131	me	provocation		me
1251302	me	benefit		me
1255250	me	trash		me
1257942	me	supports		me
1260100	at	boat		at
1260861	me	asset		me
1261964	me	inducement		me
1266340	me	suspecting		me
1268033	at	courtesy		at
1268071	at	fire		at
1268425	me	goads		me
1269510	me	suck-ups		me
1270845	me	disciples		me
1271098	me	lickspittle		me
1272062	me	stooge		me
1273254	me	coequal		me
1274438	at	rump		at
1274560	me	disciple		me
1274876	me	seconds		me
1277133	at	craft		at
1277741	at	ignitable		at
1278782	me	adherents		me
1279298	me	aid		me
1280192	at	regular		at
1280559	at	prime		at
1286423	me	toady		me
1286815	me	apple-polishers		me
1287882	at	concentration		at
1288842	me	coextensive		me
1289811	me	hand-me-down		me
1291296	at	warrior		at
1291649	me	discard		me
1294914	me	converts		me
1295691	me	alike		me
1300434	me	devotee		me
1304582	me	worshipper		me
1305241	me	approaching		me
1307815	at	succeed		at
1308711	me	henchmen		me
1309563	me	twin		me
1310105	me	ladiesman		me
1310244	me	instigations		me
1312200	me	camp follower		me
1313156	me	grovelers		me
1313267	me	aids		me
1314028	me	company man		me
1315875	at	flare		at
1317712	me	compiler		me
1318813	at	floor		at
1321030	at	feather		at
1321721	at	prosper		at
1322968	at	legionary		at
1327319	at	bravery		at
1328011	me	hangers-on		me
1328529	me	stimulant		me
1331044	me	spongers		me
1331360	me	idolater		me
1333003	me	discards		me
1333334	me	company men		me
1341797	me	incentives		me
1343728	me	sponger		me
1346576	at	immersion		at
1347403	at	watercraft		at
1349543	me	analogous		me
1350573	me	like		me
1350897	me	inducements		me
1351534	me	camp followers		me
1352253	me	vegetarian		me
1354147	me	incentive		me
1354730	me	benefits		me
1358716	me	assets		me
1361122	me	cull		me
1362346	at	soldier		at
1362369	me	sustenances		me
1363739	at	absorption		at
1364442	me	doubting		me
1364899	at	anywise		at
1365555	me	advantages		me
1367415	me	scrap		me
1367959	me	tantamount		me
1370433	me	worshippers		me
1374399	me	borrowed		me
1375620	at	rear		at
1378330	me	coincident		me
1379443	me	questioning		me
1379804	me	comparable		me
1382732	me	consonant		me
1386983	me	minions		me
1389628	me	lackeys		me
1390870	me	equal		me
1393124	me	votary		me
1393403	me	fuels		me
1395786	at	backside		at
1397123	at	bed		at
1399149	me	groveler		me
1400452	me	culls		me
1400915	me	encouragement		me
1401783	me	bootlickers		me
1402365	me	castaways		me
1402525	at	base		at
1402546	me	refreshers		me
1406075	at	array		at
1406272	me	fans		me
1407724	me	worn		me
1408730	me	adherent		me
1411278	me	help		me
1414312	me	convert		me
1416399	at	politeness		at
1417043	me	enthusiast		me
1422572	me	sponges		me
1422998	at	butt		at
1423303	me	second		me
1424282	me	partisans		me
1425363	me	connate		me
1426058	me	interchangeable		me
1427798	me	suchlike		me
1431788	me	votaries		me
1432508	at	fret		at
1434089	me	goad		me
1442633	me	instigation		me
1443401	me	devotees		me
1448891	at	regalia		at
1452016	me	incredulous		me
1452475	me	stimuli		me
1452784	at	cognizance		at
1455796	at	anchorperson		at
1456949	me	same		me
1457297	at	glare		at
1459232	me	plus		me
1467165	at	undersurface		at
1468946	me	fan		me
1469345	at	cream		at
1469606	me	leech		me
1471967	me	rejections		me
1476814	me	corresponding		me
1477365	me	boosts		me
1478848	at	elect		at
1480923	me	akin		me
1481825	me	pluses		me
1485262	at	kindle		at
1487105	me	fawner		me
1487203	me	throwaways		me
1487934	me	mariner		me
1488928	me	waste		me
1490549	me	advantage		me
1491021	me	hands		me
1492215	at	erode		at
1492373	me	brownnoser		me
1492574	at	pick		at
1493510	me	identical		me
1495932	me	momentum		me
1496180	me	synonymous		me
1497447	at	seethe		at
1500139	me	minion		me
1500999	me	fawners		me
1502147	me	matching		me
1502203	me	slaves		me
1502298	me	henchman		me
1503436	me	enthusiasts		me
1505614	me	cultists		me
1505851	at	fume		at
1511647	me	equivalent		me
1512814	me	myself		me
1515906	at	engrossment		at
1517014	me	flunky		me
1518195	at	eye		at
1519511	at	steam		at
1519974	at	upper crust		at
1521561	me	incitations		me
1521794	at	inflammable		at
1522897	me	rover		me
1524241	me	secondhand		me
1525652	me	zealot		me
1527287	at	amenity		at
1527793	me	parasite		me
1528660	me	sustenance		me
1530281	me	selfsame		me
1533534	me	followers		me
1533743	at	turn up		at
1536656	me	yeast		me
1541449	me	idolaters		me
1542269	me	lackey		me
1543232	at	pleasantry		at
1544109	me	sparks		me
1551212	at	gaiety		at
1551818	me	reach-me-down		me
1554183	me	suspicious		me
1555557	at	flame		at
1558737	at	caparison		at
1559247	at	posterior		at
1561363	me	stimulants		me
1564430	me	lapdogs		me
1566123	me	rejects		me
1566287	me	follower		me
1568361	me	yes-men		me
1569951	me	redundant		me
1572280	me	rejection		me
1572335	me	incitements		me
1575374	me	bootlicker		me
1576292	at	ignite		at
1578174	me	stooges		me
1580641	at	ear		at
1582106	at	fat		at
1583477	me	unbelieving		me
1586840	me	setter		me
1587073	me	throwaway		me
1589036	me	look-alike		me
1589782	me	partisan		me
1590591	me	yes-man		me
1591086	me	stimulus		me
1596020	at	civility		at
1597693	me	slave		me
1602232	me	catalyzer		me
1602829	me	white elephant		me
1603666	me	old		me
1604812	me	even		me
1604993	me	duplicate		me
1605294	at	formality		at
1606102	me	motivations		me
1608389	me	scraps		me
1608852	at	blaze		at
1610000	at	choice		at
1612210	me	parallel		me
1616115	at	fanny		at
1618083	me	lapdog		me
1618397	at	light		at
1618449	at	gesture		at
1619573	me	similar		me
1621557	me	correspondent		me
1623838	me	parasites		me
1624189	me	spark		me
1626610	me	castaway		me
1626627	me	motivation		me
