definition,answer,occurrences,example_clue,approve
abbey,POETS CORNER,1,Liberal rector opens part of abbey,
abbreviates,ABSTRACTS,1,"Abbreviates A, B, C  …  and starts translation",
abducted,HELD TO RANSOM,1,"Abducted, shot in the moorlands",
abducting them,CRADLESNATCHING,1,"Can't gas children, possibly, but could be abducting them",
abraham darby's,IRONMASTER,1,"Abraham Darby's remains rot, sadly",
absolute limit,SATURATION POINT,1,Absolute limit wrongly put in trio sonata,
absolute zero,NOT A SAUSAGE,1,"After mixing, use on a gas at absolute zero?",
absorbing story,SPELLBINDER,1,Absorbing story blends peril with disruption,
abundance,MILKANDHONEY,1,"Abundance, supply: holy, kind – Amen",
academic ability,UNSTREAMED,1,New dustmen are not sorted by academic ability,
academic enclave,IVORY TOWER,1,I've to worry about academic enclave,
academic institution,BODLEIANLIBRARY,1,Blair debonairly relaxed in academic institution,
accept,BUY INTO,1,Bounty I resolved to accept,
accepting,ASSUMING,1,"Accepting a sin - smug, sloppy",
access,MASTERKEY,1,"Make tyres differently, giving improved access",
accessories,ADORNMENTS,1,Model and monster to become accessories,
accompaniment,CONCOMITANCE,1,Comic note can spoil accompaniment,
accomplishing,ATTAINING,1,Accomplishing anti-anti-G possibly,
accountant may,CHARTERED,1,Accountant may be after this three-card trick,
accuracy,TARGET PRACTICE,1,Great tactic rep deployed in exercise to improve accuracy,
accustomed,ACCLIMATISED,1,Accustomed to upset mice with acid and salt,
ached,YEARNED,1,Doctors deny ear ached,
achieves popularity,PREVALENCE,1,New place never achieves popularity,
aching,RHEUMATIC,1,"Aching, distress me with haircut",
acquire money,PASSTHEHATROUND,1,"Terribly hard up, hastens to acquire money",
acquiring condemnation,DISAPPROBATION,1,"Mad Parisian, top bod acquiring condemnation",
acrobats,TIGHTROPES,1,Post the rig possibly used by acrobats,
across more than one country,MULTINATIONAL,1,A mountain — it'll spread across more than one country,
act superficially,SKIMTHESURFACE,1,"Act superficially, ordering makeshift cures",
acted sleepily,YAWNED,1,Acted sleepily as the new day breaks,
acting independently,STANDALONE,1,Acting independently troubled Nelson a tad,
activity,PUGILISM,1,Is lip/gum hurt by this activity?,
activity yielding,GARDENING,1,Activity yielding ginger and nuts?,
actors adopt them,STAGENAMES,1,"Same agents, but different actors adopt them",
actress,KATEWINSLET,1,Original sweet-talkin' actress,
acts,THESPIAN,1,"Unusually, he paints and he acts",
actuality,REALISM,1,A smiler suffering in actuality,
adaptable character making,CHAMELEON,1,Adaptable character making mess of clean home,
add some ginger,ENERGISE,1,"Add some ginger to greens, i.e. in a salad",
added herbs,GARNISHED,1,Added herbs from his garden,
adders,ARITHMETICIANS,1,Am I certain this dispersed adders?,
additional minutes,EXTRA TIME,1,Taxi meter running for additional minutes,
additives,UNTREATED,1,Tea turned out to be free of additives,
adelaide,SOUTH AUSTRALIA,1,I assault author spinning something about Adelaide,
adjust one's speed,GEARWHEEL,1,"Broken leg, we hear, could adjust one's speed",
administrative device,REGULATOR,1,Administrative device a ruler got wrong,
admit legality,RECOGNISE,1,Admit legality of maverick Coe's reign,
admitted,ORGANISE,1,Marshal in Orange Order is admitted,
admitted defeat,GAVEIN,1,"Given a wrong order, admitted defeat",
admitted switching,LETINTO,1,Admitted switching title on,
adoring,IDOLATROUS,1,Adoring a suitor with old pants,
adriatic peninsula,ISTRIA,1,Adriatic peninsula or its air force,
adversary,NEMESIS,1,Siemens' corrupt adversary,
advertiser,SAATCHI,1,Advertiser gives his cat a cuckoo,
advisory groups,KITCHEN CABINETS,1,Advisory groups upset I can't be in sketch,
advocate,EVANGELIST,1,Advocate leaving set off,
affair,DANCEOFDEATH,1,An odd tea chef makes for a macabre affair,
affecting ordinary guy,LAYPERSON,1,No reply as affecting ordinary guy,
afghan,PUSHTU,1,Afghan ordered to shut up,
afraid here,APPREHENSIVE,1,Perhaps even I could be afraid here,
africa,TUNISIA,1,Inuit as lost in part of Africa,
africa,SAHEL,1,Revolutionary hales from Africa,
african,TSWANA,1,African wasn't a criminal,
african resident,SACREDIBIS,1,African resident resolved a bed crisis,
africans,ETHIOPIANS,1,Africans and I eat in shop newly built,
again,REPROCESSED,1,Predecessor treated and treated again,
again,REAWAKEN,1,"A new rake in motion, stir again",
against armoured vehicles,ANTI-TANK,1,An ant kit adapted for use against armoured vehicles,
against government's wishes,REBELLIOUS,1,"Spreading Euro-libels, against Government's wishes?",
"aggravation, when closed",NEARED,1,"Earned aggravation, when closed",
aggressive,ADVERSARIAL,1,"Aggressive driver, alas a criminal",
aggressive drinker,LAGER LOUT,1,Urge all to suspect aggressive drinker,
agricultural improvement,GREENREVOLUTION,1,Ignore volunteer working for agricultural improvement,
ailing,REST HOME,1,Most here ailing?,
air,AS TIME GOES BY,1,"Air of awful egoists, maybe",
air freshener,POTPOURRI,1,Uproot and rip out air freshener,
air pump,ANTLIA,1,"A Latin translation for ""air pump""",
airborne shooter,TAILGUNNER,1,"Airborne shooter in range, until shot",
aircraft,BOEING,1,One big transport aircraft,
alaskans,ALEUTS,1,Alaskans salute reforms,
albatross may,SEABIRD,1,Albatross may be cooked — braised?,
album,ABBEY ROAD,1,Clumsily redo a baby album,
alert,ONONESTOES,1,"Nose to nose, perhaps, and alert",
"alert, having",HEADSUP,1,"Alert, having pushed a reform",
algebra etc,MATHEMATICS,1,Teach Tim and Sam complicated algebra etc,
all,SODOM,1,Its doom's uncertain? Not at all,
all,AUCONTRAIRE,1,A recruit on a manoeuvre? Not at all!,
all adding up,ARITHMETIC,1,Crime that I cracked? It's not all adding up,
all dear,DIRTCHEAP,1,Chap tired out? Not at all dear!,
all her strength,MIGHTANDMAIN,1,Hinting madam wasted all her strength,
all males,EVERYMOTHERSSON,1,Men try overshoes design­ed for all males,
allegedly good 2,THEOLDDAYS,1,Hold steady for an allegedly good 2,
all-encompassing,GENERAL,1,Enlarge to become all-encompassing,
all-out,INTENSIVE,1,All-out event is in disarray,
allow little margin,CUTITFINE,1,Allow little margin to cook fettucini,
allowed,OVERRULED,1,Fancy red velour is not allowed,
allowed,ENTITLED,1,Let Ted in new development. That's allowed,
alone holds,KEEPSOUTRIGHT,1,Alone holds curious Turkish toe peg,
alpine region,HAUTESAVOIE,1,Alpine region negotiated via tea house,
amazed,EAT ONES HAT,1,See that on a broadcast and be amazed,
ambassador,PLENIPOTENTIARY,3,Appoint entirely slippery ambassador,
ambulance,PARAMEDIC,1,Epic drama unfolding in the ambulance,
america,EUCHRE,1,Her cue to develop the game in America,
america,FLORIDA,1,Idol far off in America,
american,NEBRASKA,2,"American state banks are, after the crunch",
american actress,WITHERSPOON,1,American actress ill-disposed to ownership,
american berry grower's,LOGAN,1,American berry grower's moving along,
american dove,JACKKNIFED,1,"American dove, JFK, nicked with a shot",
american hill,MESA,1,American hill? Same difference,
american place,ANNAPOLIS,1,"Plains? No, a different American place",
american score,FIELD GOAL,1,"American score in crazy golf, ideal",
american students,SOPHOMORES,1,American students appear more posh so dressed,
amongst others,INTERALIA,1,"In retail, a development amongst others",
amorous activity,SLAPANDTICKLE,1,"Naps killed cat, excited by amorous activity",
amphibious,ROYALMARINES,1,Israel army on manoeuvres — possibly amphibious,
amusement arcade,ONEARMEDBANDIT,1,Abominated nerd playing something in the amusement arcade,
amusements,FUNFAIRS,1,Ruffians contrive amusements,
analytical essay,DISQUISITION,1,"Analytical essay - it is on squid, I suspect",
anarchy,BEDLAM,1,Reform blamed for anarchy,
anatomy,ADAMSAPPLE,1,Mad appeals about part of anatomy,
