word,letters,occurrences,approve
is,IS,13,
first,S,11,
first letter,S,11,
about,RE,11,
last,E,11,
not,NOT,11,
it,IT,10,
last letter,E,10,
money,M,9,
partne,PARTNE,9,
special,S,8,
northern,NI,8,
me,ME,8,
democratic,DUP,8,
democratic unionist,DUP,8,
our,WE,7,
northern ireland,NI,7,
royal,RA,7,
all,ALL,7,
up,UP,7,
dega,DEGA,6,
oxford,OED,6,
oxford english,OED,6,
the,LE,6,
that,ER,6,
to,TO,6,
that,UGH,6,
per,PA,6,
first,M,6,
german,DER,6,
french,EST,5,
first,T,5,
our,US,5,
german,OST,5,
last,T,5,
last letter,T,5,
charles,CR,5,
charles rex,CR,5,
also,AKA,5,
also known,AKA,5,
roman,RC,5,
roman catholic,RC,5,
abbreviation,D,5,
abbreviation for,D,5,
royal academician,RA,5,
bullshit,BS,5,
recording,EP,5,
re,RE,5,
in,EN,5,
you,TU,5,
french,ES,5,
in,UP,5,
per annum,PA,5,
for,EG,5,
for example,EG,5,
first letter,M,5,
eg,EG,5,
of,OF,5,
anno,AD,5,
anno domini,AD,5,
an,AN,5,
water,EAU,4,
first letter,T,4,
postscript,PS,4,
last,G,4,
last letter,G,4,
body,BO,4,
body odour,BO,4,
detective,DS,4,
fed,FED,4,
german,JA,4,
in,LI,4,
that,QUE,4,
red,RED,4,
elizabeth,ER,4,
elizabeth regina,ER,4,
you,TA,4,
you shouldn,TA,4,
night,NUIT,4,
from,IS,4,
the,US,4,
the guardian,US,4,
london,LSO,4,
london symphony,LSO,4,
on,UP,4,
regularly,ON,4,
tennessee,TN,4,
pennsylvania,PA,4,
film,U,4,
last,D,4,
last letter,D,4,
and,ET,4,
german for,OST,4,
french,JE,4,
aid,AID,4,
director,D,4,
supporter,LEG,4,
from,IN,4,
guardian,US,4,
in,M,4,
bisexual,BI,4,
more,ER,4,
first,C,4,
first letter,C,4,
was,LED,4,
the,ME,4,
space,EM,4,
you,UR,4,
lin,LIN,4,
sid,SID,4,
massachusetts,MA,4,
set,SET,4,
annual,AGM,4,
annual general,AGM,4,
turkey,TR,4,
american,ER,4,
ran,RAN,4,
female,MISS,4,
bar,BAR,4,
rota,ROTA,4,
roll,ROLL,4,
or,OR,3,
notes,TI,3,
friend,PAL,3,
french for,EST,3,
political,DUP,3,
our group,US,3,
madness,ANITY,3,
wander,GAD,3,
is,EST,3,
the,TE,3,
detective superintendent,DS,3,
revealed,ON,3,
our group,WE,3,
cid,CID,3,
french,EAU,3,
georgius,GR,3,
georgius rex,GR,3,
suffix,ISH,3,
medical,ER,3,
medical tv,ER,3,
mathematical,PI,3,
in roman,LI,3,
from,TO,3,
the,WE,3,
nationalist,N,3,
last,S,3,
last letter,S,3,
on,ON,3,
first,R,3,
first letter,R,3,
liren,DING,3,
speed,C,3,
speed of,C,3,
arranged,ARR,3,
affected,HIT,3,
bill,GATES,3,
second,TU,3,
second person,TU,3,
personal,PIN,3,
personal identification,PIN,3,
tv,SKY,3,
from surface,IS,3,
calvin,CK,3,
calvin klein,CK,3,
that,LL,3,
officer,OC,3,
nil,NIL,3,
extra,ESP,3,
regularly taking,ON,3,
for,U,3,
substantial,SOLID,3,
two,LL,3,
national,NUS,3,
national union,NUS,3,
hackneyed,CORN,3,
extra,ET,3,
in,FOR,3,
ton,TON,3,
the parisian,LE,3,
in,UND,3,
first,L,3,
first letter,L,3,
active,A,3,
recreational,RV,3,
recreational vehicle,RV,3,
rep,REP,3,
europeans,DANES,3,
volume,VOL,3,
not,MILD,3,
part,FIN,3,
part of,FIN,3,
kentucky,KY,3,
one,LIER,3,
in,IS,3,
contract,DEED,3,
oxford,OUP,3,
oxford university,OUP,3,
from surface,IN,3,
london,LSE,3,
london school,LSE,3,
vietnamese,PHO,3,
soak,RET,3,
the,TIME,3,
first,TE,3,
abbreviation,PS,3,
abbreviation for,PS,3,
french,DES,3,
opposing,CON,3,
american,ASS,3,
french for,ES,3,
french,TRES,3,
in,IV,3,
in roman,IV,3,
was in,LED,3,
on,RE,3,
university,RAG,3,
actual,ABH,3,
actual bodily,ABH,3,
north,NE,3,
north east,NE,3,
ar,AR,3,
in a,UP,3,
quietly,SH,3,
open,OU,3,
revolting,UP,3,
south,SE,3,
good,BON,3,
food,PIE,3,
the,LA,3,
in,TO,3,
switzerland,CH,3,
had,BIT,3,
had an,BIT,3,
united,US,3,
north,NS,3,
french,ET,3,
world,WHO,3,
world health,WHO,3,
idiots,ASSES,3,
style,STYE,3,
football,FC,3,
football club,FC,3,
drugs,EE,3,
roman,IV,3,
roman numeral,IV,3,
note,PS,3,
those,THEM,3,
ember,DEC,3,
leak,PEE,3,
you are,UR,3,
current,IN,3,
ott,OTT,3,
special,SC,3,
special constable,SC,3,
van,VAN,3,
being,ON,3,
being worn,ON,3,
ear,ENT,3,
us,US,3,
sheep,TUP,3,
night in,NUIT,3,
sinne,SINNE,3,
french,ROI,3,
rats,RATS,3,
turn,U,3,
two,TIM,3,
puck,IMP,3,
indefinite,AN,3,
the,DER,3,
george,GR,3,
kelly,NED,3,
groove,RUT,3,
hitchcock,ROPE,3,
art,ART,3,
titian,TITAN,3,
rub,RUB,3,
the,SE,3,
ruler,ER,3,
to,AU,3,
part,PART,3,
us,LITER,3,
us spelling,LITER,3,
partners,NS,3,
nuts,NUTS,3,
expression,COR,2,
expression of,COR,2,
country,NIGER,2,
country in,NIGER,2,
record,CD,2,
fortissimo,FF,2,
bridge,NS,2,
partner,DATE,2,
treasurer,TR,2,
onion,OT,2,
successful,UP,2,
successful period,UP,2,
sea,AES,2,
gamble,UNT,2,
elk,ELK,2,
political party,DUP,2,
bovine,BSE,2,
bovine spongiform,BSE,2,
to,BIN,2,
abbreviation,V,2,
abbreviation for,V,2,
the,EN,2,
the letter,EN,2,
wander about,GAD,2,
human,HR,2,
human resources,HR,2,
clean,PURE,2,
an,I,2,
revolutionary,MARAT,2,
outer,SY,2,
outer letters,SY,2,
golfer,ELS,2,
royal,REME,2,
royal electrical,REME,2,
crossworders,US,2,
gross,GR,2,
member,OWL,2,
member of,OWL,2,
measure,PH,2,
measure of,PH,2,
respecting,RE,2,
river,RIO,2,
abbreviation,CH,2,
abbreviation for,CH,2,
russian,DA,2,
north,ND,2,
north dakota,ND,2,
clothes,SUIT,2,
director,DG,2,
fish,WANDA,2,
melon,OGEN,2,
certain,URE,2,
workers,CREW,2,
incompetent,ABLE,2,
positioned,SAT,2,
framework,GRATE,2,
wasn,LIED,2,
mountain,ALP,2,
nuclear,FUSION,2,
looked,EYED,2,
an,AM,2,
promotions,ADS,2,
legislation,LAW,2,
us,F,2,
us fighter,F,2,
charles,CHAS,2,
apparently,AP,2,
university,OU,2,
from surface,TO,2,
one,EX,2,
bar,RAB,2,
detrain,DETAIN,2,
tor,TOR,2,
in,SE,2,
ordnance,OS,2,
ordnance survey,OS,2,
which,ICE,2,
on the,ON,2,
of,OUT,2,
ecstasy,ES,2,
ecstasy tablets,ES,2,
wrongly,ILL,2,
chose,ICKED,2,
wit,SALT,2,
notes,SO,2,
notes,ME,2,
to,DIE,2,
make,UP,2,
pen,BIRO,2,
approximately,CA,2,
top,TOP,2,
football,FA,2,
football association,FA,2,
awful,BAD,2,
issued,OUT,2,
doubled,FF,2,
testicle,NUT,2,
uncertainty,IF,2,
french,QUI,2,
perhaps,EG,2,
from,AN,2,
central,CA,2,
central america,CA,2,
first,H,2,
first letter,H,2,
hat,RICORN,2,
on,OUT,2,
to,PLY,2,
staff,ROD,2,
launch,LUNCH,2,
loot,LOOT,2,
embarrassed,RED,2,
american,AX,2,
uk,RYMAN,2,
alan,TURING,2,
each,PA,2,
each year,PA,2,
two,ASS,2,
two turkeys,ASS,2,
look,SURF,2,
look at,SURF,2,
date,ERA,2,
an,DISH,2,
an attractive,DISH,2,
on horseback,UP,2,
putin,DA,2,
the,EGOT,2,
extra sensory,ESP,2,
for all,U,2,
royal,RADA,2,
royal academy,RADA,2,
man,HIS,2,
philosophy,PPE,2,
foreign,FO,2,
foreign office,FO,2,
dogs,PETS,2,
hackneyed stuff,CORN,2,
corps,C,2,
recreation,REC,2,
recreation ground,REC,2,
phone,EE,2,
phone company,EE,2,
put,SET,2,
city,UR,2,
series,TED,2,
series of,TED,2,
see,CU,2,
see you,CU,2,
film classification,U,2,
abbreviation,S,2,
abbreviation for,S,2,
yob,YOB,2,
lab,LAB,2,
in berlin,UND,2,
abbrev,OP,2,
european,EUR,2,
final,Y,2,
final letter,Y,2,
amil,AMIL,2,
groups,POSSES,2,
groups of,POSSES,2,
masters,MA,2,
one,LIVER,2,
one who,LIVER,2,
puts,TABLES,2,
puts forward,TABLES,2,
cutlery,SILVER,2,
lot,TOL,2,
express,TUT,2,
extremely,LE,2,
extremely l,LE,2,
tard,TARD,2,
expression,UM,2,
vessel,JAR,2,
task,TSK,2,
at,ON,2,
at work,ON,2,
seaman,AB,2,
captive,POW,2,
schools,NS,2,
not,ITED,2,
jumped,AULTED,2,
port,PT,2,
district,DA,2,
district attorney,DA,2,
reference,RICE,2,
officer,NCO,2,
eastern,EST,2,
eastern standard,EST,2,
american,AM,2,
prefix,CO,2,
legs,ON,2,
in,IN,2,
of,DE,2,
little,TED,2,
cooking,ON,2,
an,HOY,2,
central,CIA,2,
central intelligence,CIA,2,
cunning,ART,2,
formula,FI,2,
abbreviation,GR,2,
agreed,CHIMED,2,
not,TON,2,
is,CAN,2,
room,WARD,2,
not serious,MILD,2,
we,WE,2,
wise,SAGES,2,
old,KEY,2,
old jailer,KEY,2,
imperial,ICI,2,
imperial chemical,ICI,2,
not,EASY,2,
question,HOW,2,
fizzy,FANTA,2,
fizzy drink,FANTA,2,
until,TO,2,
of,DU,2,
of the,DU,2,
significant,KEY,2,
fight,RUCK,2,
scream,EK,2,
welsh,SIAN,2,
britain,BR,2,
oz,OZ,2,
no,OFF,2,
no longer,OFF,2,
company,CO,2,
former,ER,2,
led,DEL,2,
big,TALL,2,
personal,PPE,2,
personal protective,PPE,2,
soft,FANTA,2,
soft drink,FANTA,2,
heat,S,2,
heat,HE,2,
experience,TRIP,2,
articles,EIN,2,
articles in,EIN,2,
blokes,CHAP,2,
in,THUS,2,
intellectual,IP,2,
intellectual property,IP,2,
french for,JE,2,
reveal,ON,2,
some,DES,2,
thrusts,POKES,2,
work,OP,2,
gun,BREN,2,
dropping,POO,2,
gripped,BIT,2,
expression,PISH,2,
expression of,PISH,2,
who,QUI,2,
soft,PAP,2,
soft food,PAP,2,
master,MBA,2,
master of,MBA,2,
standard,RULE,2,
old,GRAN,2,
old woman,GRAN,2,
other,OR,2,
other ranks,OR,2,
middle,MOR,2,
sextet,VI,2,
pacific,PST,2,
pacific standard,PST,2,
tablets,ES,2,
left,ENT,2,
goes,PEES,2,
vietnamese noodle,PHO,2,
strad,STRAD,2,
princess,DI,2,
hopper,ROO,2,
covering,ON,2,
seat,ARSE,2,
top,KING,2,
monkeys,IMPS,2,
container,BIN,2,
the great,TIME,2,
short,SEC,2,
th,L,2,
national,NF,2,
national front,NF,2,
non,NDA,2,
more,BROKER,2,
more broke,BROKER,2,
deceives,CONS,2,
computer,MICE,2,
americans,US,2,
broadcast,EW,2,
english,ENO,2,
english national,ENO,2,
thoughtless,RASH,2,
first,P,2,
french for,DES,2,
without,DRY,2,
on,M,2,
foreign,LE,2,
foreign article,LE,2,
prize,POT,2,
over,OTT,2,
over the,OTT,2,
printer,EM,2,
old,OBS,2,
old boys,OBS,2,
rascal,CAD,2,
two,TOP,2,
skin,WART,2,
skin blemish,WART,2,
french,BON,2,
french for,BON,2,
bad,CAD,2,
novel,KIM,2,
movie,ET,2,
brussels,EU,2,
looks,EYES,2,
what,EH,2,
outlet,VENT,2,
spoo,SPOO,2,
first,G,2,
first letter,G,2,
mud,MUD,2,
next,SAT,2,
low,LITE,2,
university event,RAG,2,
the,PAPER,2,
the guardian,PAPER,2,
rude,RUE,2,
suggest,INT,2,
one,WAG,2,
behind,ASS,2,
residence,RES,2,
parisian,EN,2,
last,H,2,
last letter,H,2,
adde,ADDE,2,
hide,BURY,2,
abbreviation,AR,2,
abbreviation for,AR,2,
raf,ERK,2,
raf slang,ERK,2,
stick,BAT,2,
promotional,AD,2,
the setter,ME,2,
american,US,2,
presentation,BILLINGS,2,
presentation of,BILLINGS,2,
east,EN,2,
east and,EN,2,
partners,EW,2,
for,PER,2,
for every,PER,2,
boatman,I,2,
scots,LUM,2,
soldiers,GI,2,
you,LL,2,
you and,LL,2,
last,K,2,
last letter,K,2,
moves,EDGES,2,
mire,MUD,2,
codebreaker,TURING,2,
black,TAR,2,
mob,LE,2,
egypt,ET,2,
had,FACED,2,
had to,FACED,2,
women,WI,2,
first,O,2,
first letter,O,2,
fourth,D,2,
as,STILL,2,
as before,STILL,2,
pal,PAL,2,
opus,OP,2,
quantity,AMP,2,
quantity of,AMP,2,
butt,END,2,
nothing,RIEN,2,
a couple,FF,2,
sexual,IT,2,
definite,DER,2,
dear,CHER,2,
mark,X,2,
mark of,X,2,
even,IF,2,
even though,IF,2,
moor,MOOR,2,
open university,OU,2,
tips,TIPS,2,
still,BUT,2,
in,LET,2,
in tennis,LET,2,
scilicet,SC,2,
german,ACHT,2,
german for,ACHT,2,
officer commanding,OC,2,
velocity,SPEED,2,
model,CAST,2,
european,ROMA,2,
european capital,ROMA,2,
ted,TED,2,
eva,PERON,2,
satellite,IO,2,
oval,O,2,
month,AUG,2,
regret,RUE,2,
bishop,SEE,2,
it,TI,2,
an,IN,2,
worst,PITS,2,
yogi,BERRA,2,
alcoholics,AA,2,
alcoholics anonymous,AA,2,
the,E,2,
political,ANC,2,
political party,ANC,2,
convict,CON,2,
shouting,RANT,2,
cold,ICE,2,
business,AGM,2,
business meeting,AGM,2,
computer,HAL,2,
african,ANC,2,
african national,ANC,2,
chamber,PO,2,
chamber pot,PO,2,
letters,OO,2,
that,HIM,2,
switch,OFF,2,
switch positions,OFF,2,
and,PRIMES,2,
roman,D,2,
measure,EN,2,
cheap,TAT,2,
from,AT,2,
from surface,AT,2,
thursday,TH,2,
hole,O,2,
everything,ALL,2,
accounts,ISA,2,
abbreviation,NI,2,
abbreviation for,NI,2,
old,HILAR,2,
united states,US,2,
money,DIME,2,
being,IS,2,
pset,U,2,
south east,SE,2,
small,SME,2,
small and,SME,2,
brand,CIALIS,2,
brand name,CIALIS,2,
abbreviation,KY,2,
abbreviation for,KY,2,
the,GATE,2,
the number,GATE,2,
to,LOP,2,
just,NLY,2,
sleep,NAP,2,
first,D,2,
three,YARD,2,
three feet,YARD,2,
like,ISH,2,
last,Y,2,
last letter,Y,2,
mother,MAM,2,
is,ES,2,
yen,YEN,2,
to,DO,2,
for,AT,2,
is,LONGS,2,
miniskirts,MINIS,2,
law,LAW,2,
in,US,2,
go,ADD,2,
for,DUAL,2,
for two,DUAL,2,
french,FIN,2,
study,DEN,2,
thoroughfare,RD,2,
for,JE,2,
for louis,JE,2,
lots,LOTS,2,
french,ONZE,2,
direct,DD,2,
direct debit,DD,2,
rag,GAR,2,
boat,TUB,2,
the,AB,2,
sickness,MAL,2,
school,FISH,2,
labour,LAB,2,
to,PEE,2,
abbreviation,FLA,2,
abbreviation for,FLA,2,
kansas,KS,2,
crossings,FORD,2,
mo,MO,2,
abbreviation,CR,2,
abbreviation for,CR,2,
poor,TAT,2,
poor quality,TAT,2,
german,HANS,2,
short,REG,2,
cheers,TA,2,
north and,NS,2,
german for,JA,2,
lps,LPS,2,
role,ROLE,2,
haircut,CROP,2,
oxford,OU,2,
abbreviation,BR,2,
abbreviation for,BR,2,
french,ILE,2,
an,NA,2,
yaps,YAPS,2,
engineers,REME,2,
first,E,2,
first letter,E,2,
pays,FOOTS,2,
authorised,AV,2,
authorised version,AV,2,
massachusetts,MIT,2,
massachusetts institute,MIT,2,
re,ER,2,
to,CHA,2,
to curtail,CHA,2,
f r,FEC,2,
sex,VI,2,
australia,AUS,2,
middle,T,2,
stalls,PENS,2,
rugby,SCRUM,2,
zuid,ZA,2,
zuid afrika,ZA,2,
rank,ROW,2,
to,OT,2,
end,E,2,
end of,E,2,
woman,NORA,2,
maine,ME,2,
lover,LEMAN,2,
post,PS,2,
to,ON,2,
carolus,CR,2,
carolus rex,CR,2,
constant,PI,2,
school,ETON,2,
ditto,DO,2,
when,TEN,2,
is repeatedly,IS,2,
the,OUR,2,
abbrev,KO,2,
hours,DAY,2,
wine,RED,2,
cooler,HIPPER,2,
struggles,VIES,2,
gi,GI,2,
pottery,WARE,2,
that in,QUE,2,
end,END,2,
net,NET,2,
discharge,VENT,2,
chamber,VAULT,2,
quare,S,2,
the,BACKS,2,
satisfied,MET,2,
volume,LITER,2,
possible,ON,2,
to,MOON,2,
round,LAP,2,
for,MINE,2,
for me,MINE,2,
rock,REM,2,
greek,ATE,2,
greek goddess,ATE,2,
available,ON,2,
high,TOR,2,
high point,TOR,2,
the,Z,2,
the last,Z,2,
military,MM,2,
mad,MAD,2,
cut,LOP,2,
second,MO,2,
stomachs,TUMS,2,
poetic,VERSIFICATION,2,
poetic technique,VERSIFICATION,2,
dam,DAM,2,
boy,LAD,2,
girl,TINA,2,
celebrity,LION,2,
boob,ERR,2,
finished,DID,2,
abbreviation,A,2,
you,YE,2,
it,OW,2,
congress,EX,2,
rat,SING,2,
saturday,SS,2,
saturday and,SS,2,
knight,KT,2,
posh,NOB,2,
gp,DR,2,
vitamin,K,2,
own,OG,2,
own goal,OG,2,
reading,LECTION,2,
courtier,COURIER,2,
stands,RACKS,2,
mother,MAMMA,2,
song,AIR,2,
prisoners,POWS,2,
rapid,REM,2,
rapid eye,REM,2,
at,LATE,2,
at night,LATE,2,
ultraviolet,UV,2,
raps,RAPS,2,
cel,CEL,2,
cocaine,C,2,
foreign,FCO,2,
foreign and,FCO,2,
ale,ALE,2,
it,SEX,2,
fruit,HIPS,2,
one,ODI,2,
immorality,SIN,2,
two,BA,2,
two bachelors,BA,2,
sanctuary,DEN,2,
make,CURE,2,
make better,CURE,2,
not,ODD,2,
not even,ODD,2,
indefinite articles,AN,2,
late,L,2,
exhausted,IN,2,
one,LOPER,2,
op,OP,2,
large,LOT,2,
in revolt,UP,2,
exclamation,MY,2,
exclamation of,MY,2,
one,WEEPER,2,
female,PENS,2,
female swans,PENS,2,
balls,OVERS,2,
acting,A,2,
degenerate,ROT,2,
james,M,2,
james bond,M,2,
chocolate,TWIX,2,
chocolate bar,TWIX,2,
biblical,EVE,2,
compartment,POD,2,
grind,MILL,2,
george rex,GR,2,
jeers,BOOS,2,
be,SIN,2,
don,ON,2,
male,SON,2,
worn,OLD,2,
french,ICI,2,
spanish,SI,2,
setter,ME,2,
substitute,SUB,2,
peek,PEEK,2,
tries,HEARS,2,
on,TO,2,
brev,BREV,2,
rudolf,HESS,2,
pots,POTS,2,
us,ER,2,
one,RIGHT,2,
males,STAG,2,
to,ROB,2,
to steal,ROB,2,
queens,ER,2,
meet,MEET,2,
typographical,EM,2,
her,ER,2,
result,BLED,2,
result of,BLED,2,
names,NN,2,
posters,ADS,2,
colour,TONE,2,
garments,TOPS,2,
enrolled,EN,2,
cornish,SW,2,
valet,VALET,2,
rap,RAP,2,
fellow,W,2,
fellow finally,W,2,
if,IF,2,
country,US,2,
painful,GOUT,2,
painful condition,GOUT,2,
our team,WE,2,
one,APER,2,
student,RAG,2,
medical,MOS,2,
medical officers,MOS,2,
king,GR,2,
king george,GR,2,
wrongdoing,TORT,2,
what,QUE,2,
scots,ORRA,2,
guevara,CHE,2,
right,RL,2,
right and,RL,2,
picture,PIC,2,
drill,PE,2,
printer,EN,2,
voting,PR,2,
voting system,PR,2,
the,SKY,2,
provided,IF,2,
graduates,MA,2,
compass,E,2,
compass bearing,E,2,
compact,CD,2,
compact disc,CD,2,
cut,RACK,2,
policeman,PLOD,2,
mark,POCK,2,
security,LOCK,2,
axe,AXE,2,
roll,BUN,2,
superior,U,2,
those folk,THEM,2,
bachelor,MB,2,
bachelor of,MB,2,
leaving,OFF,2,
cold,CH,2,
cold and,CH,2,
elit,ELIT,2,
child,MITE,2,
the,HIS,2,
the man,HIS,2,
to,SCREW,2,
writer,PEN,2,
champion,CH,2,
picture,PRINT,2,
source,MINE,2,
source of,MINE,2,
spaces,ENS,2,
farah,MO,2,
chain,CH,2,
that woman,ER,2,
corrosion,ROT,2,
tennis,EVERT,2,
tennis champion,EVERT,2,
fellow,US,2,
fellow americans,US,2,
epidermic,EPIDEMIC,2,
fell,MOOR,2,
rubbish,ROT,2,
quotation,TAG,2,
fashionable,IN,2,
her,HER,2,
two,HAND,2,
two workers,HAND,2,
acquaintance,KEN,2,
lid,LID,2,
poles,BAR,2,
short,IB,2,
ver,VER,2,
paul,ME,2,
ng,LO,2,
fabulous,ACE,2,
finnish,FINISH,2,
part,EAR,2,
part of,EAR,2,
editor,ED,2,
stomach,BLED,2,
fox,FUR,2,
previous,EX,2,
previous lover,EX,2,
an,GO,2,
an erotic,GO,2,
latin,CANIS,2,
woman,VI,2,
the,IS,2,
appreciation,EAR,2,
stuffed,LINED,2,
no,O,2,
first,I,2,
fa,FA,2,
parisian,ES,2,
ta,TA,2,
hoop,HOOP,2,
film,KES,2,
kin,KIN,2,
articles,AN,2,
primitive,SLING,2,
primitive weapon,SLING,2,
one,MONO,2,
chase,CASE,2,
pools,POOLS,2,
rue,RUE,2,
private,PI,2,
private eye,PI,2,
col,COL,2,
nurses,EN,2,
tressed,TRESSED,2,
pa,PA,2,
cunning,FLY,2,
co,CO,2,
nesbi,NESBI,2,
meal,UNCH,2,
teachers,NUT,2,
all,FIELD,2,
regularly,EAR,2,
regularly r,EAR,2,
invisible,HA,2,
invisible border,HA,2,
ed,ED,2,
partners in,NS,2,
peaks,TOR,2,
puff,AD,2,
laid,LAID,2,
sea,SEA,2,
son,SON,2,
salts,TAR,2,
singer,STING,2,
hacks,PRESS,2,
draggin,DRAGGIN,2,
cry,OW,2,
cry of,OW,2,
eton,ETON,2,
was,WAS,2,
to the,AU,2,
liz,LIZ,2,
stair,STIR,2,
bumble,ASS,2,
nag,NAG,2,
teddy,TED,2,
tale,TALE,2,
st,ST,2,
in,IC,2,
in roman,IC,2,
a nintendo,DS,2,
drugs,POT,2,
works,OP,2,
pets,PETS,2,
rev,NUP,2,
rev of,NUP,2,
rev,YNAM,2,
rev of,YNAM,2,
cubic,CC,2,
cubic centimetre,CC,2,
solvers,YE,2,
two,GO,2,
two tries,GO,2,
met,SAT,2,
