# Puzzles where fifteensquared explanations were written to DB
# Total: 525 puzzles, 13391 clues

10815,30
10817,30
10818,30
10819,2
10820,28
10821,30
10824,2
10825,30
10826,32
10827,25
10829,28
10830,29
10831,28
10832,29
10835,32
10836,32
10837,29
10838,1
10839,27
10842,32
10844,28
10845,28
10847,30
10849,29
10850,30
10851,26
10853,28
10854,30
10855,28
10856,28
10860,29
10861,30
10863,28
10865,30
10866,31
10867,1
10868,29
10869,30
10871,32
10872,1
10873,30
10874,28
10875,30
10878,30
10879,32
10880,27
10883,30
10884,30
10885,30
10887,28
10889,32
10890,28
10891,4
10892,30
10893,28
10897,30
10898,24
10899,30
10901,29
10902,31
10903,35
10904,28
10905,1
10907,33
10908,30
10909,30
10910,1
10911,31
10914,31
10916,29
10917,21
10919,30
10921,30
10922,33
10923,28
10925,34
10926,30
10927,27
10928,29
10932,27
10933,29
10934,1
10935,32
10937,28
10938,31
10940,30
10941,28
10943,31
10945,29
10946,36
10947,30
10950,28
10951,30
10952,32
10955,27
10956,31
10957,29
10959,28
10961,28
10962,27
10964,28
10965,32
10968,2
10969,26
10970,30
10971,29
10973,29
10974,31
10975,30
10976,27
10979,34
10980,32
10981,31
10983,30
10985,31
10986,2
10987,30
10988,22
10990,27
10991,1
10992,27
10993,23
10994,30
10996,28
10997,30
10998,30
10999,30
11000,1
11003,28
11004,23
11005,1
11006,32
11008,28
11009,27
11011,28
11012,25
11014,28
11016,31
11017,30
11018,27
11021,32
11022,29
11023,28
11026,28
11027,32
11028,32
11029,1
11030,32
11032,30
11033,28
11034,2
11035,28
11036,25
11040,32
11041,30
11042,28
11044,30
11045,30
11046,26
11047,31
11048,1
11050,30
11051,31
11052,30
11053,2
11054,31
11057,33
11058,3
11059,32
11060,30
11062,34
11063,3
11064,30
11065,28
11066,26
11068,28
11069,28
11070,26
11071,26
11072,1
11075,32
11076,30
11078,32
11080,28
11081,27
11082,1
11084,30
11086,26
11088,25
11089,30
11090,24
11093,32
11094,27
11095,27
11098,30
11099,32
11100,29
11102,32
11104,30
11105,29
11107,32
11108,27
11112,28
11113,33
11114,32
11116,28
11117,30
11118,30
11119,30
11122,30
11123,30
11124,29
11126,25
11129,25
11132,22
11134,32
11136,30
11137,26
11138,30
11140,28
11141,28
11142,28
11143,29
11147,26
11148,29
11149,2
11150,32
11152,28
11153,29
11154,1
11155,26
11156,30
11158,37
11159,2
11160,27
11161,28
11162,27
11165,33
11166,29
11167,30
11168,1
11170,30
11171,31
11172,29
11174,32
11176,28
11177,30
11178,1
11179,28
11180,31
11184,32
11185,28
11186,32
11188,32
11189,26
11190,30
11191,28
11192,1
11194,28
11195,30
11196,28
11198,31
11201,27
11203,26
11204,28
11206,30
11207,2
11208,30
11209,28
11210,30
11212,28
11213,31
11214,29
11215,32
11219,31
11220,30
11222,33
11224,31
11225,26
11227,29
11228,27
11230,27
11231,1
11232,30
11234,22
11237,34
11238,29
11239,27
11240,1
11242,30
11243,27
11244,30
11246,33
11248,30
11249,30
11250,1
11251,26
11252,30
11255,1
11256,30
11257,29
11258,28
11260,30
11261,32
11262,27
11263,28
11266,30
11267,31
11268,29
11269,1
11270,30
11273,29
11275,27
11276,29
11281,28
11285,25
11286,27
11288,1
11291,30
11302,26
11303,1
11305,26
11315,28
11316,30
11321,29
11329,30
11333,29
11339,31
11341,4
11345,29
11347,25
11359,28
11365,1
11372,24
11378,28
11381,29
11389,2
11392,30
11395,29
11396,31
11400,28
11405,31
11406,27
11417,33
11425,26
11435,30
11441,32
11450,30
11465,25
11476,26
11477,31
11479,29
11483,26
11485,2
11497,26
11507,29
11508,32
11509,4
11513,30
11516,26
11522,31
11528,4
11545,23
11555,30
11557,3
11566,29
11569,24
11582,28
11586,1
11590,28
11593,30
11599,30
11600,1
11605,1
11609,31
11626,30
11627,33
11630,28
11641,27
11645,26
11651,30
11657,29
11662,26
11663,2
11684,27
11692,30
11713,25
11717,28
11719,26
11723,31
11737,27
11743,27
11746,27
11747,28
11749,1
11752,28
11754,3
11764,30
11765,30
11766,30
11767,27
11768,1
11773,2
11778,1
11782,30
11783,1
11792,24
11798,19
11813,22
11816,1
11822,30
11825,27
11831,1
11833,27
11834,29
11863,31
11869,2
11873,31
11875,26
11885,28
11890,28
11896,28
11905,32
11906,31
11921,20
11928,28
11947,27
11951,1
11963,29
11964,33
11966,28
11968,30
11969,25
11970,2
11971,26
11972,32
11976,30
11977,28
11978,31
11980,38
11981,32
11982,32
11983,30
11984,1
11986,31
11987,28
11988,30
11989,2
11990,28
11993,32
11995,30
11996,29
11998,32
11999,1
12000,30
12001,32
12002,30
12004,26
12005,29
12006,30
12007,29
12011,30
12012,29
12013,1
12014,25
12016,28
12017,31
12018,3
12019,37
12020,26
12022,32
12024,34
12025,34
12026,30
12029,32
12030,32
12031,32
12032,4
12034,28
12035,34
12036,32
12037,2
12038,30
12040,27
12041,32
12042,4
12043,31
12044,28
12047,1
12048,28
12053,25
12059,31
12067,25
12071,3
12079,33
12097,30
12115,29
12121,29
12130,25
12133,30
12137,28
12168,28
12174,27
12181,30
12187,27
12193,26
12196,28
12218,31
12223,26
12230,30
12232,24
12241,32
12258,28
12259,16
12266,25
12268,28
12277,27
12281,37
12283,27
12290,29
12293,25
12294,27
12299,32
12306,30
12317,29
