# Independent backfill failures
# Generated: 2026-03-31
# Format: date | puzzle_number | status | matched/total

2022-12-08 | #11281 | partial | 29/30
2022-12-13 | #11285 | partial | 29/32
2022-12-14 | #11286 | partial | 28/29
2022-12-16 | #11288 | partial | 31/32
2022-12-20 | #11291 | partial | 34/38
2023-01-02 | #11302 | partial | 27/29
2023-01-03 | #11303 | partial | 33/34
2023-01-05 | #11305 | partial | 28/30
2023-01-14 | #11313 | partial | 27/28
2023-01-17 | #11315 | partial | 29/30
2023-01-18 | #11316 | partial | 29/32
2023-01-21 | #11319 | partial | 30/33
2023-01-24 | #11321 | partial | 28/30
2023-01-28 | #11325 | partial | 32/33
2023-02-02 | #11329 | partial | 31/32
2023-02-07 | #11333 | partial | 28/30
2023-02-14 | #11339 | partial | 30/32
2023-02-16 | #11341 | partial | 31/32
2023-02-21 | #11345 | partial | 30/31
2023-02-23 | #11347 | partial | 27/29
2023-03-04 | #11355 | partial | 28/29
2023-03-09 | #11359 | partial | 27/30
2023-03-11 | #11361 | partial | 28/30
2023-03-13 | #11362 | partial | 27/28
2023-03-16 | #11365 | partial | 24/26
2023-03-18 | #11367 | partial | 26/30
2023-03-24 | #11372 | partial | 25/26
2023-03-26 | #1726 | partial | 32/33
2023-03-31 | #11378 | partial | 28/30
2023-04-01 | #11379 | partial | 29/30
2023-04-04 | #11381 | partial | 31/33
2023-04-13 | #11389 | partial | 31/32
2023-04-17 | #11392 | partial | 31/32
2023-04-20 | #11395 | partial | 31/33
2023-04-21 | #11396 | partial | 31/32
2023-04-26 | #11400 | partial | 30/32
2023-05-02 | #11405 | partial | 32/33
2023-05-03 | #11406 | partial | 29/31
2023-05-16 | #11417 | partial | 32/33
2023-05-25 | #11425 | partial | 30/36
2023-05-27 | #11427 | partial | 27/28
2023-06-05 | #11434 | partial | 25/26
2023-06-06 | #11435 | partial | 31/32
2023-06-13 | #11441 | partial | 32/33
2023-06-14 | #11442 | partial | 29/30
2023-06-23 | #11450 | partial | 29/31
2023-07-11 | #11465 | partial | 28/30
2023-07-24 | #11476 | partial | 27/28
2023-07-25 | #11477 | partial | 33/35
2023-07-27 | #11479 | partial | 29/30
2023-08-01 | #11483 | partial | 28/31
2023-08-03 | #11485 | partial | 33/34
2023-08-05 | #11487 | partial | 28/30
2023-08-12 | #11493 | partial | 33/34
2023-08-17 | #11497 | partial | 27/28
2023-08-26 | #11505 | partial | 29/30
2023-08-30 | #11508 | partial | 31/32
2023-08-31 | #11509 | partial | 29/30
2023-09-03 | #1749 | partial | 31/32
2023-09-05 | #11513 | partial | 30/32
2023-09-08 | #11516 | partial | 29/32
2023-09-15 | #11522 | partial | 31/32
2023-09-16 | #11523 | partial | 30/32
2023-09-17 | #1751 | partial | 28/31
2023-09-22 | #11528 | partial | 28/30
2023-10-01 | #1753 | partial | 30/31
2023-10-07 | #11541 | partial | 28/29
2023-10-12 | #11545 | partial | 25/27
2023-10-24 | #11555 | partial | 31/32
2023-10-26 | #11557 | partial | 28/29
2023-11-01 | #11562 | partial | 30/32
2023-11-06 | #11566 | partial | 30/31
2023-11-07 | #11567 | partial | 27/29
2023-11-09 | #11569 | partial | 27/29
2023-11-24 | #11582 | partial | 29/30
2023-11-29 | #11586 | partial | 27/28
2023-12-04 | #11590 | partial | 30/32
2023-12-07 | #11593 | partial | 31/32
2023-12-14 | #11599 | partial | 31/32
2023-12-15 | #11600 | partial | 28/30
2023-12-21 | #11605 | partial | 29/34
2023-12-23 | #11607 | partial | 30/32
2023-12-26 | #11609 | partial | 32/33
2023-12-31 | #1766 | partial | 28/30
2024-01-14 | #1768 | partial | 29/31
2024-01-15 | #11626 | partial | 31/32
2024-01-16 | #11627 | partial | 34/35
2024-01-19 | #11630 | partial | 29/30
2024-02-01 | #11641 | partial | 28/29
2024-02-06 | #11645 | partial | 29/31
